teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
10122,UTC,UTC,UTC,UTC,UTC,8D0019,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10122.png,7698,per.utc
10125,Tijuana,Tijuana,TIJ,Tijuana,Tijuana,EF0107,e1e1e1,https://a.espncdn.com/i/teamlogos/soccer/500/10125.png,4913,mex.tijuana
10139,Copiapó,Copiapó,COP,Copiapó,Copiapó,C22222,C22222,https://a.espncdn.com/i/teamlogos/soccer/500/10139.png,5744,chi.copiapo
10142,Deportes Iquique,Deportes Iquique,CDI,Deportes Iquique,Dep. Iquique,5edbff,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10142.png,4098,chi.municipal_iquique
10144,Unión La Calera,Unión La Calera,ULC,Unión La Calera,Unión La Calera,fd0000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10144.png,5428,chi.unin_la_calera
10158,Sarmiento (Junín),Sarmiento (Junín),SARM,Sarmiento (Junín),Sarmiento,288A00,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10158.png,5551,arg.sarmiento_de_junn
10161,Talleres,Talleres,TAL,Talleres,Talleres,000000,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10161.png,6108,arg.talleres_de_remedios_de_escalada
10162,Temperley,Temperley,TEMP,Temperley,Temperley,409fff,000000,https://a.espncdn.com/i/teamlogos/soccer/500/10162.png,5909,arg.temperley
10207,Al Ahly,Al Ahly,AHL,Al Ahly,Al Ahly,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10207.png,1561,fifa.al_alhy
10281,Botafogo SP,Botafogo SP,BFC,Botafogo SP,Botafogo SP,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10281.png,2948,bra.botafogo_rp
10309,Jaguares de Córdoba,Jaguares de Córdoba,COR,Jaguares de Córdoba,Jaguares,329BD4,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10309.png,5781,col.deportes_palmira
10311,Nacional Potosí,Nacional Potosí,POT,Nacional Potosí,N Potosí,212121,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10311.png,0,bol.nacional_potos
10318,Sport Huancayo,Sport Huancayo,SHO,Sport Huancayo,Huancayo,fd0032,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10318.png,5567,per.sport_huancayo
10357,Atlético-GO,Atlético-GO,AGO,Atlético-GO,Atlético-GO,FF0000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10357.png,7139,bra.goianiense
10382,1. FC Magdeburg,1. FC Magdeburg,FCM,1. FC Magdeburg,Magdeburg,0068B2,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/10382.png,3904,ger.1._fc_magdeburg
10385,FC 08 Villingen,FC 08 Villingen,VIL,FC 08 Villingen,Villingen,000000,C60000,,0,ger.fc_08_villingen
10388,SV 07 Elversberg,SV 07 Elversberg,ELV,SV 07 Elversberg,Elversberg,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/10388.png,3826,ger.sv_07_elversberg
10414,FK Qarabag,FK Qarabag,QAR,FK Qarabag,FK Qarabag,000000,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/10414.png,0,uefa.fk_qarabag
